Date,State,ConfirmedCasesIndian,ConfirmedCasesForeign,Discharged,Deaths,TotalConfirmed
2020-03-10,Delhi,4,0,0,0,4
2020-03-10,Haryana,0,14,0,0,14
2020-03-10,Karnataka,1,0,0,0,1
2020-03-10,Kerala,9,0,0,0,9
2020-03-10,Maharashtra,2,0,0,0,2
2020-03-10,Punjab,1,0,0,0,1
2020-03-10,Rajasthan,0,2,0,0,2
2020-03-10,Tamil Nadu,1,0,0,0,1
2020-03-10,Telengana,1,0,0,0,1
2020-03-10,Uttar Pradesh,9,0,0,0,9
2020-03-10,JK and Ladakh,3,0,0,0,3
2020-03-11,Delhi,5,0,0,0,5
2020-03-11,Haryana,0,14,0,0,14
2020-03-11,Karnataka,4,0,0,0,4
2020-03-11,Kerala,17,0,0,0,17
2020-03-11,Maharashtra,2,0,0,0,2
2020-03-11,Punjab,1,0,0,0,1
2020-03-11,Rajasthan,1,2,0,0,3
2020-03-11,Tamil Nadu,1,0,0,0,1
2020-03-11,Telengana,1,0,0,0,1
2020-03-11,Uttar Pradesh,9,0,0,0,9
2020-03-11,JK and Ladakh,3,0,0,0,3
2020-03-12,Delhi,6,0,0,0,6
2020-03-12,Haryana,0,14,0,0,14
2020-03-12,Karnataka,4,0,0,0,4
2020-03-12,Kerala,17,0,0,0,17
2020-03-12,Maharashtra,11,0,0,0,11
2020-03-12,Punjab,1,0,0,0,1
2020-03-12,Rajasthan,1,2,0,0,3
2020-03-12,Tamil Nadu,1,0,0,0,1
2020-03-12,Telengana,1,0,0,0,1
2020-03-12,Uttar Pradesh,10,1,0,0,11
2020-03-12,JK and Ladakh,4,0,0,0,4
2020-03-13,Andhra Pradesh,1,0,0,0,1
2020-03-13,Delhi,7,0,1,1,7
2020-03-13,Haryana,0,14,0,0,14
2020-03-13,Karnataka,6,0,0,1,6
2020-03-13,Kerala,19,0,3,0,19
2020-03-13,Maharashtra,14,0,0,0,14
2020-03-13,Punjab,1,0,0,0,1
2020-03-13,Rajasthan,1,2,1,0,3
2020-03-13,Tamil Nadu,1,0,0,0,1
2020-03-13,Telengana,1,0,0,0,1
2020-03-13,Uttar Pradesh,10,1,5,0,11
2020-03-13,JK and Ladakh,4,0,0,0,4
2020-03-14,Andhra Pradesh,1,0,0,0,1
2020-03-14,Delhi,7,0,1,1,7
2020-03-14,Haryana,0,14,0,0,14
2020-03-14,Karnataka,6,0,0,1,6
2020-03-14,Kerala,19,0,3,0,19
2020-03-14,Maharashtra,14,0,0,0,14
2020-03-14,Punjab,1,0,0,0,1
2020-03-14,Rajasthan,1,2,1,0,3
2020-03-14,Tamil Nadu,1,0,0,0,1
2020-03-14,Telengana,1,0,0,0,1
2020-03-14,Uttar Pradesh,11,1,5,0,12
2020-03-14,JK and Ladakh,5,0,0,0,5
2020-03-15,Andhra Pradesh,1,0,0,0,1
2020-03-15,Delhi,7,0,2,1,7
2020-03-15,Haryana,0,14,0,0,14
2020-03-15,Karnataka,6,0,0,1,6
2020-03-15,Kerala,22,0,3,0,22
2020-03-15,Maharashtra,32,0,0,0,32
2020-03-15,Punjab,1,0,0,0,1
2020-03-15,Rajasthan,2,2,3,0,4
2020-03-15,Tamil Nadu,1,0,0,0,1
2020-03-15,Telengana,3,0,1,0,3
2020-03-15,Uttar Pradesh,12,1,4,0,13
2020-03-15,Uttarakhand,1,0,0,0,1
2020-03-15,JK and Ladakh,5,0,0,0,5
2020-03-16,Andhra Pradesh,1,0,0,0,1
2020-03-16,Delhi,7,0,2,1,7
2020-03-16,Haryana,0,14,0,0,14
2020-03-16,Karnataka,6,0,0,1,6
2020-03-16,Kerala,23,0,3,0,23
2020-03-16,Maharashtra,32,0,0,0,32
2020-03-16,Odisha,1,0,0,0,1
2020-03-16,Punjab,1,0,0,0,1
2020-03-16,Rajasthan,2,2,3,0,4
2020-03-16,Tamil Nadu,1,0,0,0,1
2020-03-16,Telengana,3,0,1,0,3
2020-03-16,Uttar Pradesh,12,1,4,0,13
2020-03-16,Uttarakhand,1,0,0,0,1
2020-03-16,JK and Ladakh,7,0,0,0,7
2020-03-17,Andhra Pradesh,1,0,0,0,1
2020-03-17,Delhi,8,0,2,1,8
2020-03-17,Haryana,1,14,0,0,15
2020-03-17,Karnataka,11,0,0,1,11
2020-03-17,Kerala,24,2,3,0,26
2020-03-17,Maharashtra,36,3,0,1,39
2020-03-17,Odisha,1,0,0,0,1
2020-03-17,Punjab,1,0,0,0,1
2020-03-17,Rajasthan,2,2,3,0,4
2020-03-17,Tamil Nadu,1,0,0,0,1
2020-03-17,Telengana,3,2,1,0,5
2020-03-17,Uttar Pradesh,14,1,5,0,15
2020-03-17,Uttarakhand,1,0,0,0,1
2020-03-17,JK and Ladakh,9,0,0,0,9
2020-03-18,Andhra Pradesh,1,0,0,0,1
2020-03-18,Delhi,9,1,2,1,10
2020-03-18,Haryana,3,14,0,0,17
2020-03-18,Karnataka,11,0,0,1,11
2020-03-18,Kerala,25,2,3,0,27
2020-03-18,Maharashtra,39,3,0,1,42
2020-03-18,Odisha,1,0,0,0,1
2020-03-18,Puducherry,1,0,0,0,1
2020-03-18,Punjab,1,0,0,0,1
2020-03-18,Rajasthan,2,2,3,0,4
2020-03-18,Tamil Nadu,1,0,0,0,1
2020-03-18,Telengana,4,2,1,0,6
2020-03-18,Uttar Pradesh,15,1,5,0,16
2020-03-18,Uttarakhand,1,0,0,0,1
2020-03-18,West Bengal,1,0,0,0,1
2020-03-18,JK and Ladakh,11,0,0,0,11
2020-03-19,Andhra Pradesh,2,0,0,0,2
2020-03-19,Chhattisgarh,1,0,0,0,1
2020-03-19,Delhi,11,1,3,1,12
2020-03-19,Haryana,3,14,0,0,17
2020-03-19,Karnataka,14,0,0,1,14
2020-03-19,Kerala,25,2,3,0,27
2020-03-19,Maharashtra,44,3,0,1,47
2020-03-19,Odisha,1,0,0,0,1
2020-03-19,Puducherry,1,0,0,0,1
2020-03-19,Punjab,2,0,0,1,2
2020-03-19,Rajasthan,5,2,3,0,7
2020-03-19,Tamil Nadu,2,0,1,0,2
2020-03-19,Telengana,4,2,1,0,6
2020-03-19,Chandigarh,1,0,0,0,1
2020-03-19,Uttar Pradesh,18,1,9,0,19
2020-03-19,Uttarakhand,1,0,0,0,1
2020-03-19,West Bengal,1,0,0,0,1
2020-03-19,JK and Ladakh,12,0,0,0,12
2020-03-20,Andhra Pradesh,3,0,0,0,3
2020-03-20,Chhattisgarh,1,0,0,0,1
2020-03-20,Delhi,16,1,5,1,17
2020-03-20,Gujarat,5,0,0,0,5
2020-03-20,Haryana,3,14,0,0,17
2020-03-20,Karnataka,15,0,1,1,15
2020-03-20,Kerala,26,2,3,0,28
2020-03-20,Maharashtra,49,3,0,1,52
2020-03-20,Odisha,2,0,0,0,2
2020-03-20,Puducherry,1,0,0,0,1
2020-03-20,Punjab,2,0,0,1,2
2020-03-20,Rajasthan,15,2,3,0,17
2020-03-20,Tamil Nadu,3,0,1,0,3
2020-03-20,Telengana,8,9,1,0,17
2020-03-20,Chandigarh,1,0,0,0,1
2020-03-20,Uttar Pradesh,22,1,9,0,23
2020-03-20,Uttarakhand,3,0,0,0,3
2020-03-20,West Bengal,2,0,0,0,2
2020-03-20,JK and Ladakh,14,0,0,0,14
2020-03-21,Andhra Pradesh,3,0,0,0,3
2020-03-21,Chhattisgarh,1,0,0,0,1
2020-03-21,Delhi,25,1,5,1,26
2020-03-21,Gujarat,7,0,0,0,7
2020-03-21,Haryana,3,14,0,0,17
2020-03-21,Himachal Pradesh,2,0,0,0,2
2020-03-21,Karnataka,15,0,1,1,15
2020-03-21,Kerala,33,7,3,0,40
2020-03-21,Madhya Pradesh,4,0,0,0,4
2020-03-21,Maharashtra,60,3,0,1,63
2020-03-21,Odisha,2,0,0,0,2
2020-03-21,Puducherry,1,0,0,0,1
2020-03-21,Punjab,13,0,0,1,13
2020-03-21,Rajasthan,15,2,3,0,17
2020-03-21,Tamil Nadu,3,0,1,0,3
2020-03-21,Telengana,10,11,1,0,21
2020-03-21,Chandigarh,1,0,0,0,1
2020-03-21,Uttar Pradesh,23,1,9,0,24
2020-03-21,Uttarakhand,3,0,0,0,3
2020-03-21,West Bengal,3,0,0,0,3
2020-03-21,JK and Ladakh,17,0,0,0,17
2020-03-22,Andhra Pradesh,5,0,0,0,5
2020-03-22,Bihar,2,0,0,1,2
2020-03-22,Chhattisgarh,1,0,0,0,1
2020-03-22,Delhi,28,1,5,1,29
2020-03-22,Gujarat,18,0,0,1,18
2020-03-22,Haryana,7,14,0,0,21
2020-03-22,Himachal Pradesh,2,0,0,0,2
2020-03-22,Karnataka,26,0,2,1,26
2020-03-22,Kerala,45,7,3,0,52
2020-03-22,Madhya Pradesh,4,0,0,0,4
2020-03-22,Maharashtra,64,3,0,2,67
2020-03-22,Odisha,2,0,0,0,2
2020-03-22,Puducherry,1,0,0,0,1
2020-03-22,Punjab,21,0,0,1,21
2020-03-22,Rajasthan,22,2,3,0,24
2020-03-22,Tamil Nadu,5,2,1,0,7
2020-03-22,Telengana,11,11,1,0,22
2020-03-22,Chandigarh,5,0,0,0,5
2020-03-22,Uttar Pradesh,26,1,9,0,27
2020-03-22,Uttarakhand,3,0,0,0,3
2020-03-22,West Bengal,4,0,0,0,4
2020-03-22,JK and Ladakh,17,0,0,0,17
2020-03-23,Andhra Pradesh,7,0,0,0,7
2020-03-23,Bihar,2,0,0,1,2
2020-03-23,Chhattisgarh,1,0,0,0,1
2020-03-23,Delhi,28,1,5,1,29
2020-03-23,Gujarat,29,0,0,1,29
2020-03-23,Haryana,12,14,11,0,26
2020-03-23,Himachal Pradesh,2,0,0,0,2
2020-03-23,Karnataka,33,0,2,1,33
2020-03-23,Kerala,60,7,3,0,67
2020-03-23,Madhya Pradesh,6,0,0,0,6
2020-03-23,Maharashtra,71,3,0,2,74
2020-03-23,Odisha,2,0,0,0,2
2020-03-23,Puducherry,1,0,0,0,1
2020-03-23,Punjab,21,0,0,1,21
2020-03-23,Rajasthan,26,2,3,0,28
2020-03-23,Tamil Nadu,7,2,1,0,9
2020-03-23,Telengana,22,10,1,0,32
2020-03-23,Chandigarh,6,0,0,0,6
2020-03-23,Uttar Pradesh,30,1,9,0,31
2020-03-23,Uttarakhand,3,0,0,0,3
2020-03-23,West Bengal,7,0,0,1,7
2020-03-23,JK and Ladakh,17,0,0,0,17
2020-03-24,Andhra Pradesh,8,0,0,0,8
2020-03-24,Bihar,3,0,0,1,3
2020-03-24,Chhattisgarh,1,0,0,0,1
2020-03-24,Delhi,29,1,6,2,30
2020-03-24,Gujarat,32,1,0,1,33
2020-03-24,Haryana,14,14,11,0,28
2020-03-24,Himachal Pradesh,3,0,0,1,3
2020-03-24,Karnataka,37,0,3,1,37
2020-03-24,Kerala,87,8,4,0,95
2020-03-24,Madhya Pradesh,7,0,0,0,7
2020-03-24,Maharashtra,86,3,0,2,89
2020-03-24,Manipur,1,0,0,0,1
2020-03-24,Odisha,2,0,0,0,2
2020-03-24,Puducherry,1,0,0,0,1
2020-03-24,Punjab,29,0,0,1,29
2020-03-24,Rajasthan,30,2,3,0,32
2020-03-24,Tamil Nadu,13,2,1,0,15
2020-03-24,Telengana,25,10,1,0,35
2020-03-24,Chandigarh,7,0,0,0,7
2020-03-24,Uttar Pradesh,32,1,11,0,33
2020-03-24,Uttarakhand,3,1,0,0,4
2020-03-24,West Bengal,9,0,0,1,9
2020-03-24,JK and Ladakh,17,0,0,0,17
2020-03-25,Andhra Pradesh,9,0,1,0,9
2020-03-25,Bihar,4,0,0,1,4
2020-03-25,Chhattisgarh,1,0,0,0,1
2020-03-25,Delhi,30,1,6,1,31
2020-03-25,Gujarat,37,1,0,1,38
2020-03-25,Haryana,14,14,11,0,28
2020-03-25,Himachal Pradesh,3,0,0,1,3
2020-03-25,Karnataka,41,0,3,1,41
2020-03-25,Kerala,101,8,4,0,109
2020-03-25,Madhya Pradesh,14,0,0,0,14
2020-03-25,Maharashtra,125,3,1,3,128
2020-03-25,Manipur,1,0,0,0,1
2020-03-25,Mizoram,1,0,0,0,1
2020-03-25,Odisha,2,0,0,0,2
2020-03-25,Puducherry,1,0,0,0,1
2020-03-25,Punjab,29,0,0,1,29
2020-03-25,Rajasthan,34,2,3,0,36
2020-03-25,Tamil Nadu,16,2,1,0,18
2020-03-25,Telengana,25,10,1,0,35
2020-03-25,Chandigarh,7,0,0,0,7
2020-03-25,Uttar Pradesh,36,1,11,0,37
2020-03-25,Uttarakhand,3,1,0,0,4
2020-03-25,West Bengal,9,0,0,1,9
2020-03-25,JK and Ladakh,20,0,1,0,20
2020-03-26,Andaman and Nicobar Islands,1,0,0,0,1
2020-03-26,Andhra Pradesh,11,0,1,0,11
2020-03-26,Bihar,6,0,0,1,6
2020-03-26,Chandigarh,7,0,0,0,7
2020-03-26,Chhattisgarh,6,0,0,0,6
2020-03-26,Delhi,35,1,6,1,36
2020-03-26,Goa,3,0,0,0,3
2020-03-26,Gujarat,42,1,0,3,43
2020-03-26,Haryana,16,14,11,0,30
2020-03-26,Himachal Pradesh,3,0,0,1,3
2020-03-26,Karnataka,55,0,3,2,55
2020-03-26,Kerala,110,8,6,0,118
2020-03-26,Madhya Pradesh,20,0,0,1,20
2020-03-26,Maharashtra,121,3,1,3,124
2020-03-26,Manipur,1,0,0,0,1
2020-03-26,Mizoram,1,0,0,0,1
2020-03-26,Odisha,2,0,0,0,2
2020-03-26,Puducherry,1,0,0,0,1
2020-03-26,Punjab,33,0,0,1,33
2020-03-26,Rajasthan,39,2,3,0,41
2020-03-26,Tamil Nadu,20,6,1,1,26
2020-03-26,Telengana,34,10,1,0,44
2020-03-26,Uttarakhand,4,1,0,0,5
2020-03-26,Uttar Pradesh,40,1,11,0,41
2020-03-26,West Bengal,10,0,0,1,10
2020-03-26,JK and Ladakh,26,0,1,0,26
2020-03-27,Andaman and Nicobar Islands,1,0,0,0,1
2020-03-27,Andhra Pradesh,12,0,1,0,12
2020-03-27,Bihar,6,0,0,1,6
2020-03-27,Chandigarh,7,0,0,0,7
2020-03-27,Chhattisgarh,6,0,0,0,6
2020-03-27,Delhi,35,1,6,1,36
2020-03-27,Goa,3,0,0,0,3
2020-03-27,Gujarat,42,1,0,3,43
2020-03-27,Haryana,16,14,11,0,30
2020-03-27,Himachal Pradesh,3,0,0,1,3
2020-03-27,Karnataka,55,0,3,2,55
2020-03-27,Kerala,129,8,11,0,137
2020-03-27,Madhya Pradesh,20,0,0,1,20
2020-03-27,Maharashtra,127,3,15,4,130
2020-03-27,Manipur,1,0,0,0,1
2020-03-27,Mizoram,1,0,0,0,1
2020-03-27,Odisha,2,0,0,0,2
2020-03-27,Puducherry,1,0,0,0,1
2020-03-27,Punjab,33,0,0,1,33
2020-03-27,Rajasthan,39,2,3,0,41
2020-03-27,Tamil Nadu,23,6,1,1,29
2020-03-27,Telengana,35,10,1,0,45
2020-03-27,Uttarakhand,4,1,0,0,5
2020-03-27,Uttar Pradesh,40,1,11,0,41
2020-03-27,West Bengal,10,0,0,1,10
2020-03-27,JK and Ladakh,26,0,4,1,26
2020-03-28,Andhra Pradesh,14,0,1,0,14
2020-03-28,Andaman and Nicobar Islands,6,0,0,0,6
2020-03-28,Bihar,9,0,0,1,9
2020-03-28,Chandigarh,8,0,0,0,8
2020-03-28,Chhattisgarh,6,0,0,0,6
2020-03-28,Delhi,38,1,6,1,39
2020-03-28,Goa,3,0,0,0,3
2020-03-28,Gujarat,44,1,0,3,45
2020-03-28,Haryana,19,14,12,0,33
2020-03-28,Himachal Pradesh,3,0,0,1,3
2020-03-28,Karnataka,55,0,3,2,55
2020-03-28,Kerala,168,8,11,0,176
2020-03-28,Madhya Pradesh,30,0,0,2,30
2020-03-28,Maharashtra,177,3,25,5,180
2020-03-28,Manipur,1,0,0,0,1
2020-03-28,Mizoram,1,0,0,0,1
2020-03-28,Odisha,3,0,0,0,3
2020-03-28,Puducherry,1,0,0,0,1
2020-03-28,Punjab,38,0,1,1,38
2020-03-28,Rajasthan,52,2,3,0,54
2020-03-28,Tamil Nadu,34,6,2,1,40
2020-03-28,Telengana,46,10,1,0,56
2020-03-28,Uttarakhand,4,1,0,0,5
2020-03-28,Uttar Pradesh,54,1,11,0,55
2020-03-28,West Bengal,15,0,0,1,15
2020-03-28,JK and Ladakh,33,0,4,1,33
2020-03-29,Andhra Pradesh,19,0,1,0,19
2020-03-29,Andaman and Nicobar Islands,9,0,0,0,9
2020-03-29,Bihar,11,0,0,1,11
2020-03-29,Chandigarh,8,0,0,0,8
2020-03-29,Chhattisgarh,7,0,0,0,7
2020-03-29,Delhi,48,1,6,2,49
2020-03-29,Goa,4,1,0,0,5
2020-03-29,Gujarat,57,1,1,5,58
2020-03-29,Haryana,19,14,17,0,33
2020-03-29,Himachal Pradesh,3,0,0,1,3
2020-03-29,Karnataka,76,0,5,3,76
2020-03-29,Kerala,174,8,15,1,182
2020-03-29,Madhya Pradesh,30,0,0,2,30
2020-03-29,Maharashtra,183,3,25,6,186
2020-03-29,Manipur,1,0,0,0,1
2020-03-29,Mizoram,1,0,0,0,1
2020-03-29,Odisha,3,0,0,0,3
2020-03-29,Puducherry,1,0,0,0,1
2020-03-29,Punjab,38,0,1,1,38
2020-03-29,Rajasthan,53,2,3,0,55
2020-03-29,Tamil Nadu,43,6,4,1,49
2020-03-29,Telengana,56,10,1,1,66
2020-03-29,Uttarakhand,6,1,2,0,7
2020-03-29,Uttar Pradesh,64,1,11,0,65
2020-03-29,West Bengal,18,0,0,1,18
2020-03-29,JK and Ladakh,44,0,4,2,44
2020-03-30,Andhra Pradesh,23,0,1,0,23
2020-03-30,Andaman and Nicobar Islands,9,0,0,0,9
2020-03-30,Bihar,15,0,0,1,15
2020-03-30,Chandigarh,8,0,0,0,8
2020-03-30,Chhattisgarh,7,0,0,0,7
2020-03-30,Delhi,86,1,6,2,87
2020-03-30,Goa,4,1,0,0,5
2020-03-30,Gujarat,68,1,1,6,69
2020-03-30,Haryana,22,14,18,0,36
2020-03-30,Himachal Pradesh,3,0,0,1,3
2020-03-30,Karnataka,83,0,5,3,83
2020-03-30,Kerala,194,8,19,1,202
2020-03-30,Madhya Pradesh,47,0,0,3,47
2020-03-30,Maharashtra,195,3,25,8,198
2020-03-30,Manipur,1,0,0,0,1
2020-03-30,Mizoram,1,0,0,0,1
2020-03-30,Odisha,3,0,0,0,3
2020-03-30,Puducherry,1,0,0,0,1
2020-03-30,Punjab,38,0,1,1,38
2020-03-30,Rajasthan,57,2,3,0,59
2020-03-30,Tamil Nadu,61,6,4,1,67
2020-03-30,Telengana,61,10,1,1,71
2020-03-30,Uttarakhand,6,1,2,0,7
2020-03-30,Uttar Pradesh,81,1,11,0,82
